Date,Platform,PostType,Caption,Asset,Hashtags,Status,Notes
2025-11-13,Instagram,Behind The Scenes,Warm-up riffs and cold weather outside. Perfect combo.,bts_rehearsal.jpg,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic,Planned,
2025-11-13,Facebook,Behind The Scenes,Warm-up riffs and cold weather outside. Perfect combo.,bts_rehearsal.jpg,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic,Planned,
2025-11-13,YouTube Shorts,Behind The Scenes,Warm-up riffs and cold weather outside. Perfect combo.,bts_rehearsal.jpg,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic,Planned,
2025-11-15,Instagram,Throwback Clip,Throwback to last week’s groove. Crowd energy was next level.,madlife_clip_30s.mp4,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic,Planned,
2025-11-15,Facebook,Throwback Clip,Throwback to last week’s groove. Crowd energy was next level.,madlife_clip_30s.mp4,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic,Planned,
2025-11-15,YouTube Shorts,Throwback Clip,Throwback to last week’s groove. Crowd energy was next level.,madlife_clip_30s.mp4,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic,Planned,
2025-11-16,Instagram,Poll,Closer question: Coldplay or Genesis?,,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic,Planned,
2025-11-16,Facebook,Poll,Closer question: Coldplay or Genesis?,,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic,Planned,
2025-11-16,YouTube Shorts,Poll,Closer question: Coldplay or Genesis?,,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic,Planned,
2025-11-18,Instagram,Micro-Lesson,"Quick bass tip: play less, feel more. Let the groove breathe.",bass_tip_20s.mp4,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic,Planned,
2025-11-18,Facebook,Micro-Lesson,"Quick bass tip: play less, feel more. Let the groove breathe.",bass_tip_20s.mp4,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic,Planned,
2025-11-18,YouTube Shorts,Micro-Lesson,"Quick bass tip: play less, feel more. Let the groove breathe.",bass_tip_20s.mp4,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic,Planned,
2025-11-20,Instagram,Fan Shoutout,Love seeing familiar faces show up again. You keep us going.,crowd_photo.jpg,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic,Planned,
2025-11-20,Facebook,Fan Shoutout,Love seeing familiar faces show up again. You keep us going.,crowd_photo.jpg,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic,Planned,
2025-11-20,YouTube Shorts,Fan Shoutout,Love seeing familiar faces show up again. You keep us going.,crowd_photo.jpg,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic,Planned,
2025-11-22,Instagram,Setlist Snapshot,This week’s setlist is nearly locked. Requests?,setlist_image.png,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic,Planned,
2025-11-22,Facebook,Setlist Snapshot,This week’s setlist is nearly locked. Requests?,setlist_image.png,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic,Planned,
2025-11-22,YouTube Shorts,Setlist Snapshot,This week’s setlist is nearly locked. Requests?,setlist_image.png,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic,Planned,
