Date,Platform,PostType,Caption,Asset,Hashtags,Status,Notes
2025-11-11,Instagram,Gig Teaser,Show vibes loading in Woodstock. What should we open with?,teaser_20s-vertical.mp4,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #Genesis #Coldplay,Planned,[LOCAL]
2025-11-11,Facebook,Gig Teaser,Show vibes loading in Woodstock. What should we open with?,teaser_20s-vertical.mp4,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #Genesis #Coldplay,Planned,[LOCAL]
2025-11-11,YouTube Shorts,Gig Teaser,Show vibes loading in Woodstock. What should we open with?,teaser_20s.mp4,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #Genesis #Coldplay,Planned,[LOCAL]
2025-11-13,Instagram,Behind The Scenes,"Rehearsal night. Coffee, cables, and a metronome that never blinks.",bts_rehearsal.jpg,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #Genesis #Coldplay,Planned,[LOCAL]
2025-11-13,Facebook,Behind The Scenes,"Rehearsal night. Coffee, cables, and a metronome that never blinks.",bts_rehearsal.jpg,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #Genesis #Coldplay,Planned,[LOCAL]
2025-11-13,YouTube Shorts,Behind The Scenes,"Rehearsal night. Coffee, cables, and a metronome that never blinks.",bts_rehearsal.jpg,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #Genesis #Coldplay,Planned,[LOCAL]
2025-11-15,Instagram,Throwback Clip,Throwback to the last set. Crowd was loud and the groove locked in.,madlife_clip_30s.mp4,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #Genesis #Coldplay,Planned,[LOCAL]
2025-11-15,Facebook,Throwback Clip,Throwback to the last set. Crowd was loud and the groove locked in.,madlife_clip_30s.mp4,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #Genesis #Coldplay,Planned,[LOCAL]
2025-11-15,YouTube Shorts,Throwback Clip,Throwback to the last set. Crowd was loud and the groove locked in.,madlife_clip_30s.mp4,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #Genesis #Coldplay,Planned,[LOCAL]
2025-11-16,Instagram,Poll,Help us choose the closer: Genesis or Coldplay?,,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #Genesis #Coldplay,Planned,[LOCAL]
2025-11-16,Facebook,Poll,Help us choose the closer: Genesis or Coldplay?,,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #Genesis #Coldplay,Planned,[LOCAL]
2025-11-16,YouTube Shorts,Poll,Help us choose the closer: Genesis or Coldplay?,,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #Genesis #Coldplay,Planned,[LOCAL]
2025-11-18,Instagram,Micro-Lesson,Bass tip of the week: keep the right hand light and let the drummer breathe.,bass_tip_20s.mp4,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #Genesis #Coldplay,Planned,[LOCAL]
2025-11-18,Facebook,Micro-Lesson,Bass tip of the week: keep the right hand light and let the drummer breathe.,bass_tip_20s.mp4,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #Genesis #Coldplay,Planned,[LOCAL]
2025-11-18,YouTube Shorts,Micro-Lesson,Bass tip of the week: keep the right hand light and let the drummer breathe.,bass_tip_20s.mp4,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #Genesis #Coldplay,Planned,[LOCAL]
2025-11-20,Instagram,Fan Shoutout,Shoutout to everyone who packed the patio last time. We heard you from the stage.,crowd_photo.jpg,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #Genesis #Coldplay,Planned,[LOCAL]
2025-11-20,Facebook,Fan Shoutout,Shoutout to everyone who packed the patio last time. We heard you from the stage.,crowd_photo.jpg,#MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #MixedUpBand #CherokeeGA #WoodstockGA #LiveMusic #CoverBand #GeorgiaMusic #Genesis #Coldplay,Planned,[LOCAL]
